Arcadia2	2	6092568	6234937
Arcadia2	3	1214199	1421370
Arcadia2	4	2235176	2376628
Arcadia2	4	5027104	5292187
Arcadia2	6	1824026	1868835
B71	3	1528859	1878215
Bm88324	2	7194986	7219968
Bm88324	5	3341662	3665973
Bm88324	7	2834757	3085529
CD156	1	2669621	2776823
CD156	3	1147056	1187288
CD156	5	2179256	2365379
FHSS2-1	3	1516782	1852572
FR13	1	933823	988148
FR13	1	2593423	2845599
Guy11	1	390436	540906
Guy11	1	608494	939152
LpKY	3	1501267	1842445
U233	2	7284149	7390795
U233	4	4583581	4702341
U233	4	5089861	5099184
U233	5	2078242	2138314
U233	5	2779489	3190425
US71	1	2915151	3147387
US71	3	1186440	1400857
US71	4	2282079	2417930
US71	6	1890629	2021617
